code_uic;libelle_point_d_arret;libelle;libelle_stif_info_voyageurs;libelle_sms_gare;nom_gare;adresse;code_insee_commune;commune;x_lambert_ii_etendu;y_lambert_ii_etendu;coord_gps_wgs84;zone_navigo;gare_non_sncf
87545145;ETRECHY;ETRECHY;GARE D'ETRECHY;Etréchy;Étréchy;Boulevard Pasteur 91580   Etrechy;91226;Etréchy;589492;2388317;48.4935610644, 2.19438536557;5;0
87545194;BRETIGNY;BRETIGNY;GARE DE BRETIGNY;Brétigny;Brétigny-sur-Orge;Place Pierre Venin 91220  Brétigny-sur-Org;91103;Brétigny-sur-Orge;597477;2400892;48.6066856038, 2.3023104096;5;0
87545210;SAINTE-GENEVIEVE DES BOIS;SAINTE-GENEVIEVE DES BOIS;GARE DE STE GENEVIEVE DES BOIS;ste geneviev;Sainte-Geneviève-des-Bois;Place de la Gare 91700   Sainte-Geneviève-des-Bois;91549;Sainte-Geneviève-des-Bois;598249;2406054;48.6530895138, 2.3127529;5;0
87545269;ABLON;ABLON;GARE D'ABLON;Ablon;Ablon;Place de la Libération 94480   Ablon-sur-Seine;94001;Ablon-sur-Seine;606090;2414099;48.7253771442, 2.41924456072;4;0
87545467;ARPAJON;ARPAJON;GARE D'ARPAJON;Arpajon;Arpajon;Rue Aristide Briand 91290   Arpajon;91021;Arpajon;592945;2398615;48.5861831007, 2.24091796258;5;0
87545517;SERMAISE;SERMAISE;GARE DE SERMAISE;Sermaise;Sermaise;Route de Dourdan 91530   Sermaise;91593;Sermaise;580224;2393008;48.5355139146, 2.06881558987;5;0
87546226;LES SAULES;LES SAULES;GARE DES SAULES;Les Saules;Les Saules;Voie les Saules 94310   Orly;94054;Orly;605946;2416325;48.7453864158, 2.41731902384;4;0
87547315;SAINT-MICHEL NOTRE DAME;SAINT-MICHEL NOTRE DAME;ST MICHEL ND RER C;St Michel ND;Saint-Michel Notre Dame;Quai Saint Michel 75005   Paris;75104;Paris;600540;2428349;48.8534830378, 2.34386002975;1;0
87681155;MAISONS ALFORT ALFORTVILLE;MAISONS ALFORT ALFORTVILLE;GARE DE MAISONS ALFORT ALFORTVILLE;Mais. Alfort;Maisons-Alfort - Alfortville;1 Place Jean Moulin 94149 Maison Alfort;94046;Alfortville;606624;2422625;48.8020043888, 2.42663105501;3;0
87681346;ORANGIS BOIS DE L'EPINE;ORANGIS BOIS DE L'EPINE;GARE D'ORANGIS BOIS DE L EPINE;Orangis Bois;Ris-Orangis Bois de l'Épine;Avenue de la Résistance 91130 Ris Orangis;91521;Ris-Orangis;605255;2404187;48.6362887654, 2.40777964556;5;0
87681411;MENNECY;MENNECY;GARE DE MENNECY;Mennecy;Mennecy;Place du 8 mai 1945 91540 Mennecy;91386;Mennecy;607142;2396933;48.5710632679, 2.43325188735;5;0
87681510;BUNO GIRONVILLE;BUNO GIRONVILLE;GARE DE BUNO GIRONVILLE;Buno Gironv.;Buno-Bonnevaux - Gironville-sur-Essonne;Rue de la gare/ Rue de Gironville 91720;91121;Buno-Bonnevaux;603721;2374685;48.3710816036, 2.38672292567;5;0
87681619;VILLABE;VILLABE;GARE DE VILLABE;Villabé;Villabé;Avenue de la Gare 91100 Villabé;91659;Villabé;609226;2399357;48.5928271304, 2.46153266588;5;0
87681858;VILLENEUVE PRAIRIE;VILLENEUVE PRAIRIE;GARE DE VILLENEUVE PRAIRIE;Villeneuve P;Villeneuve-Saint-Georges Prairie;Chemin des Vaches;94078;Villeneuve-Saint-Georges;607122;2418531;48.7652024341, 2.433338632;3;0
87682161;CESSON;CESSON;GARE DE CESSON;Cesson;Cesson;Rue de La Gare, 77240 Cesson;77067;Cesson;618994;2396359;48.565664426, 2.59376744623;5;0
87682252;THOMERY;THOMERY;GARE DE THOMERY;;Thomery;Chemin forestier 77300 Fontainebleau;77463;Thomery;632785;2377226;48.3931099094, 2.77909503945;5;0
87682294;SAINT-MAMMES;SAINT-MAMMES;GARE DE ST MAMMES;;Saint-Mammès;Rue de la gare 77670 Saint-Mammès;77419;Saint-Mammès;635516;2376026;48.3821776716, 2.8158628021;5;0
87682435;HERICY;HERICY;GARE DE HERICY;;Héricy;Avenue Fernand Dalaine 77850 Hericy;77226;Héricy;631375;2382752;48.442859651, 2.76046271779;5;0
87682526;PONTHIERRY PRINGY;PONTHIERRY PRINGY;GARE DE PONTHIERRY PRINGY;Ponthierry;Saint-Fargeau-Ponthierry - Pringy;Rue Maurice Leroy 77310 Saint Fargeau-Ponthierry;77407;Saint-Fargeau-Ponthierry;615373;2392938;48.5350074152, 2.54460207204;5;0
87683136;PONT SUR YONNE;PONT SUR YONNE;GARE DE PONT SUR YONNE;;Pont-sur-Yonne;;89309;Pont-sur-Yonne;664223;2365651;48.2866954166, 3.20174953421;100;0
87684100;MONTIGNY SUR LOING;MONTIGNY SUR LOING;GARE DE MONTIGNY SUR LOING;;Montigny-sur-Loing;Avenue de la gare 77690 Montigny-sur-Loing;77312;Montigny-sur-Loing;629813;2371044;48.3376736682, 2.7385490063;5;0
87684233;DORDIVES;DORDIVES;GARE DE DORDIVES;;Dordives;;45127;Dordives;631704;2349920;48.1476530629, 2.76250789444;100;0
87684407;BOIGNEVILLE;BOIGNEVILLE;GARE DE BOIGNEVILLE;Boigneville;Boigneville;Place de la Gare 91720 Boigneville;91069;Boigneville;603146;2371489;48.342350244, 2.3789411123;5;0
87754986;BUSSY SAINT-GEORGES;BUSSY SAINT-GEORGES;GARE DE BUSSY ST GEORGES;;Bussy-Saint-Georges;;77058;Bussy-Saint-Georges;627416;2426551;48.8367409178, 2.70977301222;5;1
87758052;RUEIL MALMAISON;RUEIL MALMAISON;GARE DE RUEIL MALMAISON;;Rueil-Malmaison;;92063;Rueil-Malmaison;587870;2432126;48.8873126905, 2.17119529456;3;1
87758102;NATION;NATION;NATION;;Nation;;75112;Paris;604361;2427773;48.8482919987, 2.39589344313;1;1
87758128;FONTENAY SOUS BOIS;FONTENAY SOUS BOIS;GARE DE FONTENAY SOUS BOIS;;Fontenay-sous-Bois;;94033;Fontenay-sous-Bois;609388;2427238;48.843430303, 2.46433886226;3;1
87758177;CHAMPIGNY;CHAMPIGNY;GARE DE CHAMPIGNY;;Champigny;;94068;Saint-Maur-des-Fossés;612758;2423185;48.8069455873, 2.51010547177;3;1
87758342;NOISY CHAMPS;NOISY CHAMPS;GARE DE NOISY CHAMPS;;Noisy-le-Grand Champs;;93051;Champs-sur-Marne;617752;2427164;48.8425892215, 2.57822488113;4;1
87758607;CHATELET LES HALLES;Châtelet les Halles;CHATELET LES HALLES;;Châtelet les Halles;;75101;Paris;600801;2428807;48.8575990354, 2.34741546883;1;1
87758672;ARCUEIL CACHAN;ARCUEIL CACHAN;GARE D'ARCUEIL CACHAN;;Arcueil - Cachan;;94016;Cachan;599368;2422207;48.798280675, 2.32790817631;3;1
87758722;ROBINSON;ROBINSON;GARE DE ROBINSON;;Robinson;;92071;Chatenay-Malabry;595959;2420179;48.7800404985, 2.2815489662;3;1
87758748;LA CROIX DE BERNY;LA CROIX DE BERNY;GARE DE LA CROIX DE BERNY FRESNES;;La Croix de Berny;;92002;Antony;597674;2418219;48.7624325685, 2.30488398555;3;1
87758813;PALAISEAU VILLEBON;PALAISEAU VILLEBON;GARE DE PALAISEAU VILLEBON;;Palaiseau - Villebon-sur-Yvette;;91477;Palaiseau;592688;2412131;48.7076740717, 2.23720264144;4;1
87113209;PANTIN;PANTIN;GARE DE PANTIN;Pantin;Pantin;Avenue de la gare 93500 Pantin;93055;Pantin;604688;2433279;48.8977738494, 2.40040674765;2;0
87113522;LE CHENAY GAGNY;LE CHENAY GAGNY;GARE DE CHENAY GAGNY;Chenay-Gagny;Gagny le Chênay;5 rue du chemin de fer 93220 Gagny;93032;Gagny;615860;2431016;48.8772579359, 2.55260641607;4;0
87113704;ROSNY SOUS BOIS;ROSNY SOUS BOIS;GARE DE ROSNY SOUS BOIS;Rosny Sous B;Rosny-sous-Bois;1 place des Martyrs de la Résistance 93110 ROSNY-SOUS-BOIS;93064;Rosny-sous-Bois;610943;2430279;48.8707365481, 2.48559085409;3;0
87113803;LES YVRIS - NOISY LE GRAND;LES YVRIS NOISY LE GRAND;GARE DES YVRIS NOISY LE GRAND;Les Yvris;Noisy-le-Grand Les Yvris;avenue du bois St Martin 93160 Noisy le Grand;93051;Noisy-le-Grand;617874;2425006;48.8231906883, 2.57979540155;4;0
87115873;CHAMPBENOIST POIGNY;CHAMPBENOIST POIGNY;GARE DE CHAMPBENOIST POIGNY;Champbenoist;Champbenoist Poigny;Rue de Champbenoist, 77160 Provins;77368;Poigny;670207;2394493;48.5453574035, 3.28705609292;5;0
87116079;VERNEUIL L'ETANG;VERNEUIL L'ETANG;GARE DE VERNEUIL L ETANG;Verneuil;Verneuil-l'Étang;;77493;Verneuil-l'Etang;635987;2405248;48.644845508, 2.82466540585;5;0
87116095;NANGIS;NANGIS;GARE DE NANGIS;Nangis;Nangis;Place de la gare 77370 Nangis;77327;Nangis;649907;2396078;48.5614914155, 3.01241107757;5;0
87116178;SAINTE-COLOMBE SEPTVEILLES;SAINTE-COLOMBE SEPTVEILLES;GARE DE STE COLOMBE SEPTVEILLES;Ste Colombe;Sainte-Colombe Septveilles;Rue Victor Hugo 77650 Sainte-Colombe;77404;Sainte-Colombe;668023;2392778;48.5301748255, 3.257217473;5;0
87116293;VAIRES TORCY;VAIRES TORCY;GARE DE VAIRES TORCY;Vaires Torcy;Vaires - Torcy;Place du Général de Gaulle 77360 Vaires-sur-Marne;77479;Vaires-sur-Marne;622252;2430812;48.8752353152, 2.63968946902;5;0
87116350;CHAUFFRY;CHAUFFRY;GARE DE CHAUFFRY;;Chauffry;;77436;Saint-Siméon;661598;2423982;48.8112873771, 3.17476072409;5;0
